exp,run_id,status,source,pool,seed,batch,legacy,smoke,git,rank_IC,IC,rankic_mean,p_le0,start_time
predbump_e151_10d21_seed100_hs300,be82788789d14e3a971c887ac2d2a93f,FINISHED,,,,,,,,,0.014033465768091625,,,1787238619521
predbump_e151_10d21_seed100_zz500,97a750e16ddc40c594520bcde11bde7e,FINISHED,,,,,,,,,0.0086329484164112,,,1787238826486
predbump_e152_10d21_seed200_hs300,8e76241f741f4d7591d1d40745e7f2e5,FINISHED,,,,,,,,,0.004762233201841601,,,1787238971226
predbump_e152_10d21_seed200_zz500,32963f50039f4ac28c019d06446a9038,FINISHED,,,,,,,,,0.0030125479182619686,,,1787239087736
predbump_e153_10d21_seed300_hs300,a869e995e1a64b5ca459114b14d90936,FINISHED,,,,,,,,,0.00856841476929318,,,1787239465646
predbump_e153_10d21_seed300_zz500,2892843ebac6456bbdee483e1b0b68cd,FINISHED,,,,,,,,,0.00853147690448123,,,1787239598787
predbump_e16_top50_10d21_hs300,3aef1d1e70da43738d857f525f2e97ec,FINISHED,,,,,,,,,0.0044904358802268195,,,1787240679803
predbump_e16_top50_10d21_hs300,96369ece22174873ae13a1b359efc5da,FINISHED,,,,,,,,,0.0044904358802268195,,,1787240744715
predbump_e16_top50_10d21_zz500,e864d970971a4f518c08c0508625956c,FINISHED,,,,,,,,,0.007777152951691737,,,1787240200950
predbump_e17_all_10d_21,dbfb1cbd604f43b78f24805ff6695836,FAILED,,,,,,,,,,,,1787243029608
predbump_e17_all_10d_21,2cf45fe2d3cd4688a5768827870e81f4,RUNNING,,,,,,,,,,,,1787243189768
predbump_e17_all_10d_21,8b1fdbf2cea842c6ae2f0112d5dd978d,RUNNING,,,,,,,,,,,,1787244823917
predbump_e18_off_60d_21_hs300,62803066fc944837a0f3ef71eea153eb,FINISHED,,,,,,,,,-0.044313000236734686,,,1787252685087
predbump_e18_off_60d_21_zz500,a53b97f7a9174bb7800469f9b0d09387,FINISHED,,,,,,,,,-0.09704944013749815,,,1787252787900
predbump_e191_15d21_seed100_hs300,03ce74b5391e4a6185c2edc9fbecfd5b,FINISHED,,,,,,,,,0.004302424925219917,,,1787255693809
predbump_e192_15d21_seed200_hs300,3293e56838664e339e32d4f9bd7c64db,FINISHED,,,,,,,,,0.004914304393968874,,,1787255801373
predbump_e193_15d21_seed300_hs300,51b28c69e7114d669dd4a57dda21911e,FINISHED,,,,,,,,,0.006593459108632657,,,1787255908658
predbump_e19_off_15d_21_hs300,5fb8cad9f15f412bb44b2a241b7b9a17,FINISHED,,,,,,,,,0.010788799474249216,,,1787255435706
predbump_e19_off_15d_21_zz500,5ccd0a49424548b3a5d41a520dbfc26f,FINISHED,,,,,,,,,-0.008733891888670997,,,1787255538353
predbump_roll10_hs300_w00,db22178ee8c04e24bc4d062f578ec1d8,FINISHED,,,,,,,,,0.05356458590592712,,,1787233496347
predbump_roll10_hs300_w01,ca97a4c3ee9a462cb8f0b2de12c09189,FAILED,,,,,,,,,,,,1787233576939
predbump_roll10_hs300_w02,73db6e1837884f46821ef7554dc519f3,FINISHED,,,,,,,,,-0.016887013153387108,,,1787233665552
predbump_roll10_hs300_w03,bdbdda5301124d79b40b1aab97fe2a52,FAILED,,,,,,,,,,,,1787233747255
predbump_roll10_hs300_w04,e22ff719409646a0810fa386aa2519fd,FAILED,,,,,,,,,,,,1787233839112
predbump_roll10_zz500_w00,b2739a30288744f3bbe1e5451cef7b73,FINISHED,,,,,,,,,-0.036839779251074366,,,1787233887184
predbump_roll10_zz500_w01,00c2751232cc4447b08a7c7c60acc090,FAILED,,,,,,,,,,,,1787234009600
predbump_roll10_zz500_w02,19556bd1eacb4d2dadb63b190a5b8981,FINISHED,,,,,,,,,0.0022139116008057075,,,1787234135588
predbump_roll10_zz500_w03,1a1898be356646dfa48119dcec87dc27,RUNNING,,,,,,,,,,,,1787234259843
predbump_roll10b_hs300_w00,526fc440418c4735b99b82d8f1f4f0a3,FINISHED,,,,,,,,,0.05356458590592712,,,1787234310651
predbump_roll10b_hs300_w01,4a958eaedf254156bfb9b85e2898222b,FAILED,,,,,,,,,,,,1787234393514
predbump_roll10b_hs300_w02,80f7422cc7734206a319c3b0119433b2,FINISHED,,,,,,,,,-0.016887013153387108,,,1787234507732
predbump_roll10b_hs300_w03,0c8c46017b53439b895b511a758cbdd7,FAILED,,,,,,,,,,,,1787234596092
predbump_roll10b_hs300_w04,8c783515f9e844399a3ba14b503fb400,FAILED,,,,,,,,,,,,1787234716625
predbump_roll10b_zz500_w00,4600970c42364f15b976565eccbd3c95,FINISHED,,,,,,,,,-0.036839779251074366,,,1787234770387
predbump_roll10b_zz500_w01,b09872fe866346f38409c525591b241c,RUNNING,,,,,,,,,,,,1787234908915
predbump_roll10c_hs300_w00,a1ec2b1d3e074a428ee328b3f7399bc5,FINISHED,,,,,,,,,0.05356458590592712,,,1787235023507
predbump_roll10c_hs300_w01,2e851beda17645498a3c0cb352a300f9,FINISHED,,,,,,,,,0.036340539109409396,,,1787235120703
predbump_roll10c_hs300_w02,cb77786a77ff4402bf0e18eda0925a43,FINISHED,,,,,,,,,-0.016887013153387108,,,1787235228130
predbump_roll10c_hs300_w03,43340f2dbe94486187b87a9e6783c9b5,FINISHED,,,,,,,,,0.00949408584581703,,,1787235329881
predbump_roll10c_hs300_w04,b017b5b4f18444168301f21e788ea7ad,FINISHED,,,,,,,,,0.0851386324926015,,,1787235428513
predbump_roll10c_zz500_w00,e814ae7a495c4f3e80ad87d3010dfcbf,FINISHED,,,,,,,,,-0.036839779251074366,,,1787235526923
predbump_roll10c_zz500_w01,788963d3dee1464196a1b70405e75cb4,FINISHED,,,,,,,,,0.03983838056492946,,,1787235667614
predbump_roll10c_zz500_w02,23847921c0744a7cb3203022c6fd3807,FINISHED,,,,,,,,,0.0022139116008057075,,,1787235812397
predbump_roll10c_zz500_w03,e13002db80fe4efaa4e8c972f60661f0,FINISHED,,,,,,,,,-0.007057993913651956,,,1787235954563
predbump_roll10c_zz500_w04,dd5a3ca236494528ab08a2de8136b31e,FINISHED,,,,,,,,,0.05384979540445079,,,1787236108439
smoke_001,a7cfe05a669d4efab0a9beea618aebb9,FINISHED,harness,,,b-smoke-001,,true,4d883bf3,,,,,1787324633868
smoke_002,0601052cbb904ca99122f2031ba6de69,FINISHED,harness,,,b-server-smoke-001,,true,3794bc59,,,,,1787328265158
workflow,d9518a57b2e44767a0b3ae655fc24900,FINISHED,,,,,,,,,0.013312202350364842,,,1787140772517
workflow,841b31e7f786493e885875089cf5982b,FINISHED,,,,,,,,,0.013312202350364842,,,1787145446201
workflow,ef20993233424d47a0cd82151b3c7652,FINISHED,,,,,,,,,0.0012529839757700958,,,1787161432139
workflow,6627e0d770f0416e9877e50fcb1ada68,FINISHED,,,,,,,,,0.0012529839757700958,,,1787191913593
workflow,6d80f3f771974d3e9abd84542ab37dc6,FINISHED,,,,,,,,,-0.006467002946092434,,,1787222780351
workflow_hs300_08201106,363f5112961d49ed9d3368b579b178ef,FINISHED,,,,,,,,,-0.006467002946092434,,,1787223981966
workflow_zz500,73c4ae5ac20a4b5e9cfd1680e7b08e72,FAILED,,,,,,,,,,,,1786885627496
workflow_zz500,a01db1809d474e48b3ce5dfdddcbd102,FINISHED,,,,,,,,,-0.0019049944343089119,,,1786885645238
